bank,address,name
0,0xFEAA,BANK_U2160-0
0,0xFEC9,BANK_U2160-1
0,0xFEE8,BANK_U2260-1
1,0xFEAA,BANK_U2160-0
1,0xFEC9,BANK_U1260-1
1,0xFEE8,BANK_U2260-0
